muni_key,muni_name,rent_family_dkk_m2,rent_all_dkk_m2,income_dkk,tax_rate_pct,property_price_dkk_m2,earnings_residence_dkk,earnings_workplace_dkk,earnings_net_work_minus_res_dkk
rebild,Rebild,864.0,906.0,514521.0,25.83,,49906.0,45653.0,-4253.0
ringkbing skjern,Ringkøbing-Skjern,820.0,856.0,456920.0,25.0,,45790.0,46890.0,1100.0
ringsted,Ringsted,906.0,955.0,449727.0,26.1,,48874.0,47890.0,-984.0
roskilde,Roskilde,1159.0,1180.0,534625.0,25.2,28444.5,56723.0,49957.0,-6766.0
rudersdal,Rudersdal,1016.0,1039.0,919884.0,23.36,41755.5,70986.0,56885.0,-14101.0
rdovre,Rødovre,971.0,972.0,444025.0,25.7,35107.5,51424.0,45989.0,-5435.0
sams,Samsø,905.0,954.0,374237.0,25.9,,44780.0,45039.0,259.0
silkeborg,Silkeborg,865.0,880.0,490775.0,25.5,,50453.0,49169.0,-1284.0
skanderborg,Skanderborg,868.0,901.0,550531.0,26.0,,53732.0,48305.0,-5427.0
skive,Skive,816.0,861.0,423991.0,25.5,,45000.0,45270.0,270.0
slagelse,Slagelse,848.0,886.0,402246.0,26.1,,47171.0,45918.0,-1253.0
solrd,Solrød,,1010.0,591720.0,24.99,28787.5,56567.0,43938.0,-12629.0
sor,Sorø,903.0,927.0,452076.0,26.3,,49639.0,46045.0,-3594.0
stevns,Stevns,975.0,1081.0,458300.0,26.0,,50121.0,43159.0,-6962.0
struer,Struer,781.0,787.0,419298.0,25.3,,45848.0,45508.0,-340.0
svendborg,Svendborg,858.0,896.0,422118.0,26.3,,47708.0,45886.0,-1822.0
syddjurs,Syddjurs,887.0,918.0,453021.0,25.9,,48914.0,43672.0,-5242.0
snderborg,Sønderborg,727.0,738.0,413284.0,25.7,,48275.0,47794.0,-481.0
thisted,Thisted,737.0,748.0,416392.0,25.5,,44249.0,44267.0,18.0
tnder,Tønder,748.0,783.0,404584.0,25.3,,43350.0,43353.0,3.0
tarnby,Tårnby,911.0,915.0,491958.0,24.1,36394.0,52448.0,52518.0,70.0
vallensbk,Vallensbæk,1041.0,1040.0,506525.0,25.6,29492.0,53304.0,55340.0,2036.0
varde,Varde,810.0,835.0,453218.0,25.1,,45592.0,43089.0,-2503.0
vejen,Vejen,758.0,779.0,604102.0,25.33,,45617.0,45782.0,165.0
vejle,Vejle,860.0,880.0,483890.0,23.4,,51031.0,47784.0,-3247.0
vesthimmerlands,Vesthimmerlands,842.0,855.0,413011.0,26.3,,44598.0,44113.0,-485.0
viborg,Viborg,826.0,853.0,443426.0,25.5,,47567.0,47711.0,144.0
vordingborg,Vordingborg,872.0,913.0,391390.0,26.3,,47305.0,44982.0,-2323.0
r,Ærø,882.0,1061.0,348281.0,26.1,,43147.0,41963.0,-1184.0
aabenraa,Aabenraa,782.0,800.0,424499.0,25.6,,46088.0,47760.0,1672.0
aalborg,Aalborg,843.0,882.0,411326.0,25.6,,47957.0,48537.0,580.0
aarhus,Aarhus,927.0,948.0,421279.0,24.52,,50674.0,51518.0,844.0
